Month,Passenger_Domestic
2006-01-01,109646
2006-02-01,93528
2006-03-01,105850
2006-04-01,108381
2006-05-01,111989
2006-06-01,119449
2006-07-01,141863
2006-08-01,133200
2006-09-01,124353
2006-10-01,107728
2006-11-01,133415
2006-12-01,123649
2007-01-01,119125
2007-02-01,93441
2007-03-01,110552
2007-04-01,111920
2007-05-01,124718
2007-06-01,121728
2007-07-01,143273
2007-08-01,142540
2007-09-01,143965
2007-10-01,172130
2007-11-01,158002
2007-12-01,182100
2008-01-01,139850
2008-02-01,120389
2008-03-01,130313
2008-04-01,118046
2008-05-01,139983
2008-06-01,128220
2008-07-01,139306
2008-08-01,140024
2008-09-01,100717
2008-10-01,144726
2008-11-01,138028
2008-12-01,138659
2009-01-01,140407
2009-02-01,127764
2009-03-01,147110
2009-04-01,135680
2009-05-01,151062
2009-06-01,150541
2009-07-01,163200
2009-08-01,157696
2009-09-01,148946
2009-10-01,178119
2009-11-01,160807
2009-12-01,115750
2010-01-01,174885
2010-02-01,160367
2010-03-01,188925
2010-04-01,182210
2010-05-01,187673
2010-06-01,185722
2010-07-01,220400
2010-08-01,177523
2010-09-01,207221
2010-10-01,211576
2010-11-01,202386
2010-12-01,213618
2011-01-01,221048
2011-02-01,191047
2011-03-01,210888
2011-04-01,203694
2011-05-01,212927
2011-06-01,224308
2011-07-01,236545
2011-08-01,317082
2011-09-01,250400
2011-10-01,233290
2011-11-01,236419
2011-12-01,238932
2012-01-01,258855
2012-02-01,231457
2012-03-01,248891
2012-04-01,248037
2012-05-01,249393
2012-06-01,268880
2012-07-01,266740
2012-08-01,258670
2012-09-01,262702
2012-10-01,251176
2012-11-01,231024
2012-12-01,189955
2013-01-01,280711
2013-02-01,242026
2013-03-01,291695
2013-04-01,269935
2013-05-01,294782
2013-06-01,312316
2013-07-01,286661
2013-08-01,318352
2013-09-01,285830
2013-10-01,306944
2013-11-01,295746
2013-12-01,285474
2014-01-01,287815
2014-02-01,235540
2014-03-01,255067
2014-04-01,236644
2014-05-01,262107
2014-06-01,273007
2014-07-01,219635
2014-08-01,306915
2014-09-01,245300
2014-10-01,284951
2014-11-01,272188
2014-12-01,268411
2015-01-01,263245
2015-02-01,215298
2015-03-01,252525
2015-04-01,234491
2015-05-01,281906
2015-06-01,261900
2015-07-01,309799
2015-08-01,322679
2015-09-01,256807
2015-10-01,308115
2015-11-01,292726
2015-12-01,306862
2016-01-01,376967
2016-02-01,282961
2016-03-01,309626
2016-04-01,302431
2016-05-01,349507
2016-06-01,277715
2016-07-01,395195
2016-08-01,318159
2016-09-01,323990
2016-10-01,319488
2016-11-01,318297
2016-12-01,350815
2017-01-01,352303
2017-02-01,277667
2017-03-01,324880
2017-04-01,321736
2017-05-01,339579
2017-06-01,295404
2017-07-01,437365
2017-08-01,339820
2017-09-01,363580
2017-10-01,355451
2017-11-01,344065
2017-12-01,366189
2018-01-01,369341
2018-02-01,309966
2018-03-01,344360
2018-04-01,358725
2018-05-01,329273
2018-06-01,378082
2018-07-01,431134
2018-08-01,361641
2018-09-01,364450
2018-10-01,376212
2018-11-01,338239
2018-12-01,359634
2019-01-01,299845
2019-02-01,242539
2019-03-01,261757
2019-04-01,246228
2019-05-01,221716
2019-06-01,306475
2019-07-01,307516
2019-08-01,291482
2019-09-01,289609
2019-10-01,295343
2019-11-01,299358
2019-12-01,291897
2020-01-01,308503
2020-02-01,273885
2020-03-01,230917
2020-04-01,49046
2020-05-01,6663
2020-06-01,40508
2020-07-01,79957
2020-08-01,134043
2020-09-01,129773
2020-10-01,156486
2020-11-01,193428
2020-12-01,194363
2021-01-01,163992
2021-02-01,128429
2021-03-01,166182
2021-04-01,175885
2021-05-01,142954
2021-06-01,210516
2021-07-01,73783
2021-08-01,66276
2021-09-01,112102
2021-10-01,159016
2021-11-01,182441
2021-12-01,182396
2022-01-01,211736
2022-02-01,156830
2022-03-01,219928
2022-04-01,179676
2022-05-01,275356
2022-06-01,229651
2022-07-01,246482
2022-08-01,201465
2022-09-01,193865
2022-10-01,210265
2022-11-01,211856
2022-12-01,216028
2023-01-01,231757
2023-02-01,201365
2023-03-01,226555
2023-04-01,215723
2023-05-01,269015
2023-06-01,224500
2023-07-01,290973
2023-08-01,225558
2023-09-01,223066
2023-10-01,229951
2023-11-01,224744
2023-12-01,222794
2024-01-01,226312
2024-02-01,197691
2024-03-01,196465
2024-04-01,267090
2024-05-01,232896
2024-06-01,233781
2024-07-01,279344
2024-08-01,242746
2024-09-01,237863
2024-10-01,229525
2024-11-01,208352
2024-12-01,-
