Month,Passenger_Domestic
2006-01-01,329764
2006-02-01,257149
2006-03-01,280060
2006-04-01,291600
2006-05-01,295221
2006-06-01,297728
2006-07-01,337635
2006-08-01,326158
2006-09-01,284216
2006-10-01,255118
2006-11-01,284825
2006-12-01,312713
2007-01-01,301274
2007-02-01,236082
2007-03-01,270626
2007-04-01,270891
2007-05-01,288669
2007-06-01,288314
2007-07-01,340639
2007-08-01,321013
2007-09-01,269195
2007-10-01,327779
2007-11-01,332135
2007-12-01,324457
2008-01-01,328446
2008-02-01,282242
2008-03-01,310829
2008-04-01,275959
2008-05-01,281806
2008-06-01,281428
2008-07-01,313235
2008-08-01,298881
2008-09-01,221823
2008-10-01,340406
2008-11-01,294919
2008-12-01,309608
2009-01-01,331528
2009-02-01,289383
2009-03-01,319658
2009-04-01,311808
2009-05-01,337949
2009-06-01,356683
2009-07-01,391103
2009-08-01,381083
2009-09-01,308402
2009-10-01,433271
2009-11-01,427065
2009-12-01,417994
2010-01-01,388819
2010-02-01,349148
2010-03-01,337764
2010-04-01,405263
2010-05-01,422810
2010-06-01,441067
2010-07-01,476358
2010-08-01,367383
2010-09-01,455251
2010-10-01,477450
2010-11-01,449044
2010-12-01,474367
2011-01-01,457763
2011-02-01,413489
2011-03-01,436203
2011-04-01,429024
2011-05-01,448132
2011-06-01,518562
2011-07-01,529225
2011-08-01,386770
2011-09-01,548400
2011-10-01,504393
2011-11-01,516875
2011-12-01,521433
2012-01-01,530692
2012-02-01,494799
2012-03-01,544229
2012-04-01,522512
2012-05-01,542413
2012-06-01,528568
2012-07-01,602625
2012-08-01,528977
2012-09-01,651697
2012-10-01,586731
2012-11-01,607904
2012-12-01,608329
2013-01-01,624398
2013-02-01,518487
2013-03-01,585913
2013-04-01,560613
2013-05-01,590532
2013-06-01,627701
2013-07-01,512111
2013-08-01,658784
2013-09-01,682269
2013-10-01,685386
2013-11-01,593909
2013-12-01,624290
2014-01-01,617838
2014-02-01,479197
2014-03-01,538497
2014-04-01,510996
2014-05-01,554213
2014-06-01,609753
2014-07-01,455747
2014-08-01,743304
2014-09-01,604342
2014-10-01,636143
2014-11-01,593137
2014-12-01,644533
2015-01-01,565027
2015-02-01,474994
2015-03-01,501031
2015-04-01,513301
2015-05-01,568271
2015-06-01,518583
2015-07-01,608491
2015-08-01,699259
2015-09-01,545042
2015-10-01,605010
2015-11-01,587291
2015-12-01,671396
2016-01-01,656208
2016-02-01,571726
2016-03-01,618357
2016-04-01,596085
2016-05-01,675702
2016-06-01,523451
2016-07-01,825715
2016-08-01,792232
2016-09-01,649375
2016-10-01,718451
2016-11-01,699285
2016-12-01,693048
2017-01-01,672153
2017-02-01,546280
2017-03-01,613925
2017-04-01,615053
2017-05-01,618375
2017-06-01,539747
2017-07-01,889548
2017-08-01,676016
2017-09-01,696308
2017-10-01,655005
2017-11-01,666423
2017-12-01,735560
2018-01-01,689756
2018-02-01,597290
2018-03-01,660707
2018-04-01,671763
2018-05-01,592835
2018-06-01,706372
2018-07-01,856010
2018-08-01,720669
2018-09-01,706926
2018-10-01,688559
2018-11-01,634151
2018-12-01,642080
2019-01-01,560242
2019-02-01,473070
2019-03-01,481147
2019-04-01,443457
2019-05-01,378933
2019-06-01,607024
2019-07-01,620237
2019-08-01,541273
2019-09-01,516321
2019-10-01,543876
2019-11-01,549010
2019-12-01,574001
2020-01-01,553747
2020-02-01,481881
2020-03-01,408725
2020-04-01,97748
2020-05-01,5397
2020-06-01,64137
2020-07-01,121240
2020-08-01,186467
2020-09-01,162402
2020-10-01,182889
2020-11-01,238036
2020-12-01,244579
2021-01-01,189560
2021-02-01,152366
2021-03-01,198457
2021-04-01,219430
2021-05-01,210700
2021-06-01,346782
2021-07-01,74127
2021-08-01,97491
2021-09-01,166499
2021-10-01,231536
2021-11-01,278750
2021-12-01,305669
2022-01-01,301152
2022-02-01,220164
2022-03-01,319093
2022-04-01,285101
2022-05-01,501021
2022-06-01,404070
2022-07-01,447785
2022-08-01,346118
2022-09-01,339071
2022-10-01,367656
2022-11-01,371289
2022-12-01,413988
2023-01-01,408885
2023-02-01,364358
2023-03-01,387720
2023-04-01,387112
2023-05-01,551152
2023-06-01,435295
2023-07-01,521681
2023-08-01,416647
2023-09-01,415522
2023-10-01,448194
2023-11-01,417901
2023-12-01,446699
2024-01-01,407656
2024-02-01,357400
2024-03-01,356325
2024-04-01,498901
2024-05-01,498862
2024-06-01,448073
2024-07-01,519012
2024-08-01,431557
2024-09-01,435594
2024-10-01,441084
2024-11-01,39984
2024-12-01,-
