Month,Passenger_Domestic
2006-01-01,169652
2006-02-01,138623
2006-03-01,125954
2006-04-01,156892
2006-05-01,147322
2006-06-01,149066
2006-07-01,174983
2006-08-01,161806
2006-09-01,150232
2006-10-01,141810
2006-11-01,173411
2006-12-01,158444
2007-01-01,178255
2007-02-01,137660
2007-03-01,156088
2007-04-01,162801
2007-05-01,162798
2007-06-01,176319
2007-07-01,202323
2007-08-01,184786
2007-09-01,161437
2007-10-01,188249
2007-11-01,174431
2007-12-01,172387
2008-01-01,202989
2008-02-01,165375
2008-03-01,176427
2008-04-01,165088
2008-05-01,156609
2008-06-01,157456
2008-07-01,166174
2008-08-01,164588
2008-09-01,125256
2008-10-01,168395
2008-11-01,151261
2008-12-01,155079
2009-01-01,175756
2009-02-01,149527
2009-03-01,170956
2009-04-01,159213
2009-05-01,154947
2009-06-01,174902
2009-07-01,190562
2009-08-01,140257
2009-09-01,157384
2009-10-01,194955
2009-11-01,171558
2009-12-01,186619
2010-01-01,208514
2010-02-01,160198
2010-03-01,196749
2010-04-01,198087
2010-05-01,207410
2010-06-01,218708
2010-07-01,236892
2010-08-01,199104
2010-09-01,226741
2010-10-01,229672
2010-11-01,214522
2010-12-01,224539
2011-01-01,253516
2011-02-01,217799
2011-03-01,229612
2011-04-01,229468
2011-05-01,233719
2011-06-01,242193
2011-07-01,264443
2011-08-01,203660
2011-09-01,267672
2011-10-01,240990
2011-11-01,239983
2011-12-01,239233
2012-01-01,278808
2012-02-01,236370
2012-03-01,253339
2012-04-01,250899
2012-05-01,258197
2012-06-01,267791
2012-07-01,268165
2012-08-01,267601
2012-09-01,284783
2012-10-01,284836
2012-11-01,282910
2012-12-01,272697
2013-01-01,308474
2013-02-01,262363
2013-03-01,272743
2013-04-01,271268
2013-05-01,257477
2013-06-01,288301
2013-07-01,243807
2013-08-01,292670
2013-09-01,262390
2013-10-01,262411
2013-11-01,244220
2013-12-01,208100
2014-01-01,259256
2014-02-01,241508
2014-03-01,252182
2014-04-01,236090
2014-05-01,248371
2014-06-01,306942
2014-07-01,241200
2014-08-01,316737
2014-09-01,262390
2014-10-01,262136
2014-11-01,248748
2014-12-01,258578
2015-01-01,294748
2015-02-01,221984
2015-03-01,240988
2015-04-01,248491
2015-05-01,265442
2015-06-01,268027
2015-07-01,316429
2015-08-01,308179
2015-09-01,245614
2015-10-01,249646
2015-11-01,276671
2015-12-01,290476
2016-01-01,317318
2016-02-01,317318
2016-03-01,300626
2016-04-01,297024
2016-05-01,322226
2016-06-01,280360
2016-07-01,380567
2016-08-01,312035
2016-09-01,278897
2016-10-01,287853
2016-11-01,264322
2016-12-01,289707
2017-01-01,334556
2017-02-01,259457
2017-03-01,287522
2017-04-01,294602
2017-05-01,294629
2017-06-01,280475
2017-07-01,384004
2017-08-01,309004
2017-09-01,305698
2017-10-01,307834
2017-11-01,301136
2017-12-01,318806
2018-01-01,372984
2018-02-01,290832
2018-03-01,312516
2018-04-01,324330
2018-05-01,275394
2018-06-01,336870
2018-07-01,361523
2018-08-01,317360
2018-09-01,292582
2018-10-01,307051
2018-11-01,272602
2018-12-01,257567
2019-01-01,280839
2019-02-01,198871
2019-03-01,202298
2019-04-01,195395
2019-05-01,155731
2019-06-01,245820
2019-07-01,236009
2019-08-01,225363
2019-09-01,214364
2019-10-01,225484
2019-11-01,229847
2019-12-01,220846
2020-01-01,288819
2020-02-01,227602
2020-03-01,172348
2020-04-01,29386
2020-05-01,3593
2020-06-01,28567
2020-07-01,62904
2020-08-01,89451
2020-09-01,74638
2020-10-01,85663
2020-11-01,116956
2020-12-01,133574
2021-01-01,157614
2021-02-01,100191
2021-03-01,122498
2021-04-01,119306
2021-05-01,104644
2021-06-01,150762
2021-07-01,51362
2021-08-01,49711
2021-09-01,80935
2021-10-01,116465
2021-11-01,143606
2021-12-01,161457
2022-01-01,225304
2022-02-01,137536
2022-03-01,177348
2022-04-01,166129
2022-05-01,245423
2022-06-01,217171
2022-07-01,230623
2022-08-01,193350
2022-09-01,179483
2022-10-01,189447
2022-11-01,188598
2022-12-01,198739
2023-01-01,255263
2023-02-01,190693
2023-03-01,197738
2023-04-01,209681
2023-05-01,251463
2023-06-01,216748
2023-07-01,248679
2023-08-01,209408
2023-09-01,190778
2023-10-01,197989
2023-11-01,187237
2023-12-01,187584
2024-01-01,225772
2024-02-01,178374
2024-03-01,158265
2024-04-01,230344
2024-05-01,191394
2024-06-01,190287
2024-07-01,216423
2024-08-01,190270
2024-09-01,205372
2024-10-01,177282
2024-11-01,167498
2024-12-01,-
