Month,Passenger_Domestic
2006-01-01,136457
2006-02-01,107825
2006-03-01,119168
2006-04-01,142807
2006-05-01,125653
2006-06-01,134069
2006-07-01,165858
2006-08-01,154563
2006-09-01,143650
2006-10-01,130328
2006-11-01,144359
2006-12-01,154584
2007-01-01,151069
2007-02-01,112306
2007-03-01,128666
2007-04-01,136348
2007-05-01,152837
2007-06-01,164609
2007-07-01,203672
2007-08-01,191489
2007-09-01,152411
2007-10-01,189543
2007-11-01,168766
2007-12-01,190508
2008-01-01,179548
2008-02-01,160440
2008-03-01,176039
2008-04-01,153204
2008-05-01,172161
2008-06-01,172523
2008-07-01,200267
2008-08-01,200401
2008-09-01,120893
2008-10-01,181919
2008-11-01,161790
2008-12-01,174226
2009-01-01,176843
2009-02-01,136246
2009-03-01,162372
2009-04-01,157008
2009-05-01,191972
2009-06-01,193138
2009-07-01,225442
2009-08-01,212774
2009-09-01,183247
2009-10-01,202924
2009-11-01,199246
2009-12-01,211199
2010-01-01,207334
2010-02-01,177417
2010-03-01,189836
2010-04-01,203797
2010-05-01,217123
2010-06-01,228471
2010-07-01,264617
2010-08-01,218281
2010-09-01,240567
2010-10-01,249260
2010-11-01,229486
2010-12-01,260061
2011-01-01,266295
2011-02-01,223581
2011-03-01,229840
2011-04-01,241933
2011-05-01,253887
2011-06-01,279921
2011-07-01,322512
2011-08-01,241240
2011-09-01,307724
2011-10-01,287098
2011-11-01,289466
2011-12-01,299901
2012-01-01,309625
2012-02-01,245882
2012-03-01,265327
2012-04-01,289029
2012-05-01,300242
2012-06-01,316193
2012-07-01,344636
2012-08-01,334309
2012-09-01,322192
2012-10-01,342517
2012-11-01,338759
2012-12-01,351085
2013-01-01,334142
2013-02-01,287172
2013-03-01,323181
2013-04-01,316988
2013-05-01,347345
2013-06-01,392070
2013-07-01,341058
2013-08-01,393412
2013-09-01,374485
2013-10-01,353341
2013-11-01,375921
2013-12-01,405196
2014-01-01,400459
2014-02-01,321076
2014-03-01,333199
2014-04-01,328577
2014-05-01,381608
2014-06-01,407208
2014-07-01,347456
2014-08-01,458378
2014-09-01,378289
2014-10-01,388691
2014-11-01,379706
2014-12-01,391516
2015-01-01,356314
2015-02-01,292316
2015-03-01,315635
2015-04-01,333421
2015-05-01,375761
2015-06-01,356428
2015-07-01,380438
2015-08-01,404915
2015-09-01,327845
2015-10-01,354721
2015-11-01,317524
2015-12-01,306862
2016-01-01,322876
2016-02-01,338482
2016-03-01,388148
2016-04-01,349140
2016-05-01,427732
2016-06-01,381772
2016-07-01,511350
2016-08-01,475869
2016-09-01,431540
2016-10-01,430997
2016-11-01,411965
2016-12-01,455718
2017-01-01,449607
2017-02-01,357173
2017-03-01,378507
2017-04-01,420640
2017-05-01,442834
2017-06-01,393120
2017-07-01,547576
2017-08-01,506510
2017-09-01,456201
2017-10-01,414066
2017-11-01,367584
2017-12-01,394869
2018-01-01,449389
2018-02-01,401856
2018-03-01,427958
2018-04-01,467257
2018-05-01,433394
2018-06-01,479185
2018-07-01,546118
2018-08-01,509763
2018-09-01,464489
2018-10-01,481774
2018-11-01,440613
2018-12-01,475739
2019-01-01,428629
2019-02-01,357076
2019-03-01,369930
2019-04-01,364220
2019-05-01,289400
2019-06-01,460273
2019-07-01,459284
2019-08-01,480603
2019-09-01,424781
2019-10-01,435861
2019-11-01,435288
2019-12-01,450458
2020-01-01,453130
2020-02-01,346962
2020-03-01,253517
2020-04-01,44122
2020-05-01,2423
2020-06-01,11396
2020-07-01,41375
2020-08-01,83260
2020-09-01,80930
2020-10-01,99469
2020-11-01,169655
2020-12-01,189289
2021-01-01,118965
2021-02-01,71105
2021-03-01,116888
2021-04-01,142344
2021-05-01,121441
2021-06-01,225671
2021-07-01,49999
2021-08-01,47409
2021-09-01,113912
2021-10-01,224887
2021-11-01,274179
2021-12-01,318264
2022-01-01,317662
2022-02-01,191034
2022-03-01,290652
2022-04-01,224687
2022-05-01,395423
2022-06-01,362418
2022-07-01,408296
2022-08-01,341349
2022-09-01,299634
2022-10-01,341780
2022-11-01,317266
2022-12-01,388008
2023-01-01,395523
2023-02-01,299968
2023-03-01,329959
2023-04-01,332397
2023-05-01,380661
2023-06-01,423745
2023-07-01,489801
2023-08-01,427258
2023-09-01,389220
2023-10-01,435859
2023-11-01,386873
2023-12-01,429996
2024-01-01,404413
2024-02-01,355648
2024-03-01,302332
2024-04-01,386965
2024-05-01,413208
2024-06-01,395723
2024-07-01,456189
2024-08-01,450506
2024-09-01,423374
2024-10-01,386797
2024-11-01,343317
2024-12-01,-
