Month,Passenger_Domestic
2006-01-01,1005200
2006-02-01,723717
2006-03-01,863592
2006-04-01,867901
2006-05-01,864382
2006-06-01,879827
2006-07-01,1019569
2006-08-01,938124
2006-09-01,877088
2006-10-01,828707
2006-11-01,977587
2006-12-01,1034103
2007-01-01,866735
2007-02-01,635230
2007-03-01,830228
2007-04-01,1134174
2007-05-01,994805
2007-06-01,1001621
2007-07-01,1143997
2007-08-01,1065390
2007-09-01,892920
2007-10-01,1118994
2007-11-01,1080602
2007-12-01,1133595
2008-01-01,1034289
2008-02-01,928984
2008-03-01,1046821
2008-04-01,924350
2008-05-01,966971
2008-06-01,981207
2008-07-01,1083393
2008-08-01,1046971
2008-09-01,806762
2008-10-01,1002079
2008-11-01,970318
2008-12-01,1098045
2009-01-01,980935
2009-02-01,895941
2009-03-01,1074410
2009-04-01,966568
2009-05-01,1178594
2009-06-01,1164179
2009-07-01,1249817
2009-08-01,1127694
2009-09-01,1042837
2009-10-01,1244928
2009-11-01,1174931
2009-12-01,1293066
2010-01-01,1176478
2010-02-01,1100169
2010-03-01,1225671
2010-04-01,1206909
2010-05-01,1292549
2010-06-01,1298975
2010-07-01,1450214
2010-08-01,1152985
2010-09-01,1309501
2010-10-01,1393142
2010-11-01,1312017
2010-12-01,1550547
2011-01-01,1354230
2011-02-01,1259187
2011-03-01,1402161
2011-04-01,1373346
2011-05-01,1424388
2011-06-01,1645041
2011-07-01,1698808
2011-08-01,1279539
2011-09-01,1535120
2011-10-01,1503666
2011-11-01,1578533
2011-12-01,1651090
2012-01-01,1561684
2012-02-01,1451736
2012-03-01,1645065
2012-04-01,1582880
2012-05-01,1668845
2012-06-01,1685196
2012-07-01,1671053
2012-08-01,1573873
2012-09-01,1680588
2012-10-01,1686800
2012-11-01,1720032
2012-12-01,1822128
2013-01-01,1534744
2013-02-01,1418207
2013-03-01,1681186
2013-04-01,1596941
2013-05-01,1735299
2013-06-01,1854812
2013-07-01,1606661
2013-08-01,1856324
2013-09-01,1726190
2013-10-01,1816513
2013-11-01,1774351
2013-12-01,2058080
2014-01-01,1712529
2014-02-01,1306951
2014-03-01,1658568
2014-04-01,1504102
2014-05-01,1860120
2014-06-01,1793386
2014-07-01,1575907
2014-08-01,1749146
2014-09-01,1644321
2014-10-01,1786361
2014-11-01,1724281
2014-12-01,1950020
2015-01-01,1478308
2015-02-01,1332181
2015-03-01,1490037
2015-04-01,1492524
2015-05-01,1655718
2015-06-01,1556379
2015-07-01,1798426
2015-08-01,1759884
2015-09-01,1467594
2015-10-01,1603937
2015-11-01,1620867
2015-12-01,1875545
2016-01-01,1746840
2016-02-01,1514119
2016-03-01,1669840
2016-04-01,1654878
2016-05-01,1863374
2016-06-01,1542497
2016-07-01,1940711
2016-08-01,1730919
2016-09-01,1639365
2016-10-01,1666021
2016-11-01,1643796
2016-12-01,1963622
2017-01-01,1704606
2017-02-01,1479097
2017-03-01,1756665
2017-04-01,1802960
2017-05-01,1805970
2017-06-01,1788098
2017-07-01,2109734
2017-08-01,1891326
2017-09-01,1787086
2017-10-01,1841654
2017-11-01,1855288
2017-12-01,2108796
2018-01-01,1751059
2018-02-01,1698478
2018-03-01,1931117
2018-04-01,1949487
2018-05-01,1768565
2018-06-01,1998533
2018-07-01,2132360
2018-08-01,1932013
2018-09-01,1852076
2018-10-01,1916452
2018-11-01,1796523
2018-12-01,1883165
2019-01-01,1569630
2019-02-01,1427000
2019-03-01,1538314
2019-04-01,1403186
2019-05-01,1276006
2019-06-01,1568669
2019-07-01,1749777
2019-08-01,1714643
2019-09-01,1630312
2019-10-01,1738571
2019-11-01,1778862
2019-12-01,1870092
2020-01-01,1600594
2020-02-01,1551967
2020-03-01,1211697
2020-04-01,191002
2020-05-01,27500
2020-06-01,174352
2020-07-01,427731
2020-08-01,574597
2020-09-01,500591
2020-10-01,601391
2020-11-01,828893
2020-12-01,931481
2021-01-01,507262
2021-02-01,482132
2021-03-01,672107
2021-04-01,703135
2021-05-01,598615
2021-06-01,858770
2021-07-01,249940
2021-08-01,321287
2021-09-01,560577
2021-10-01,824287
2021-11-01,974987
2021-12-01,1192278
2022-01-01,1069185
2022-02-01,808614
2022-03-01,1195183
2022-04-01,1206248
2022-05-01,1561849
2022-06-01,1527629
2022-07-01,1566606
2022-08-01,1367804
2022-09-01,1310419
2022-10-01,1405625
2022-11-01,1418906
2022-12-01,1627832
2023-01-01,1419611
2023-02-01,1295180
2023-03-01,1452671
2023-04-01,1490809
2023-05-01,1645124
2023-06-01,1608563
2023-07-01,1737637
2023-08-01,1525937
2023-09-01,1468845
2023-10-01,1582366
2023-11-01,1599568
2023-12-01,1712363
2024-01-01,1377314
2024-02-01,1346856
2024-03-01,1362594
2024-04-01,1606572
2024-05-01,1560672
2024-06-01,1584802
2024-07-01,1767891
2024-08-01,1643381
2024-09-01,1614542
2024-10-01,1576731
2024-11-01,1473972
2024-12-01,-
